Entity,Code,Year,Number of nuclear warheads
China,CHN,1945,0
China,CHN,1946,0
China,CHN,1947,0
China,CHN,1948,0
China,CHN,1949,0
China,CHN,1950,0
China,CHN,1951,0
China,CHN,1952,0
China,CHN,1953,0
China,CHN,1954,0
China,CHN,1955,0
China,CHN,1956,0
China,CHN,1957,0
China,CHN,1958,0
China,CHN,1959,0
China,CHN,1960,0
China,CHN,1961,0
China,CHN,1962,0
China,CHN,1963,0
China,CHN,1964,1
China,CHN,1965,5
China,CHN,1966,20
China,CHN,1967,25
China,CHN,1968,35
China,CHN,1969,50
China,CHN,1970,75
China,CHN,1971,100
China,CHN,1972,130
China,CHN,1973,150
China,CHN,1974,170
China,CHN,1975,180
China,CHN,1976,180
China,CHN,1977,180
China,CHN,1978,190
China,CHN,1979,195
China,CHN,1980,205
China,CHN,1981,210
China,CHN,1982,216
China,CHN,1983,218
China,CHN,1984,220
China,CHN,1985,222
China,CHN,1986,224
China,CHN,1987,226
China,CHN,1988,228
China,CHN,1989,230
China,CHN,1990,232
China,CHN,1991,234
China,CHN,1992,234
China,CHN,1993,234
China,CHN,1994,234
China,CHN,1995,234
China,CHN,1996,234
China,CHN,1997,232
China,CHN,1998,232
China,CHN,1999,232
China,CHN,2000,232
China,CHN,2001,235
China,CHN,2002,235
China,CHN,2003,235
China,CHN,2004,235
China,CHN,2005,235
China,CHN,2006,235
China,CHN,2007,235
China,CHN,2008,235
China,CHN,2009,240
China,CHN,2010,240
China,CHN,2011,240
China,CHN,2012,240
China,CHN,2013,250
China,CHN,2014,250
China,CHN,2015,260
China,CHN,2016,260
China,CHN,2017,270
China,CHN,2018,280
China,CHN,2019,290
China,CHN,2020,350
China,CHN,2021,370
China,CHN,2022,390
China,CHN,2023,410
France,FRA,1945,0
France,FRA,1946,0
France,FRA,1947,0
France,FRA,1948,0
France,FRA,1949,0
France,FRA,1950,0
France,FRA,1951,0
France,FRA,1952,0
France,FRA,1953,0
France,FRA,1954,0
France,FRA,1955,0
France,FRA,1956,0
France,FRA,1957,0
France,FRA,1958,0
France,FRA,1959,0
France,FRA,1960,0
France,FRA,1961,0
France,FRA,1962,0
France,FRA,1963,0
France,FRA,1964,4
France,FRA,1965,32
France,FRA,1966,36
France,FRA,1967,36
France,FRA,1968,36
France,FRA,1969,36
France,FRA,1970,36
France,FRA,1971,45
France,FRA,1972,70
France,FRA,1973,116
France,FRA,1974,145
France,FRA,1975,188
France,FRA,1976,212
France,FRA,1977,228
France,FRA,1978,235
France,FRA,1979,235
France,FRA,1980,250
France,FRA,1981,274
France,FRA,1982,274
France,FRA,1983,279
France,FRA,1984,280
France,FRA,1985,360
France,FRA,1986,355
France,FRA,1987,420
France,FRA,1988,410
France,FRA,1989,410
France,FRA,1990,505
France,FRA,1991,540
France,FRA,1992,540
France,FRA,1993,525
France,FRA,1994,510
France,FRA,1995,500
France,FRA,1996,450
France,FRA,1997,450
France,FRA,1998,450
France,FRA,1999,450
France,FRA,2000,470
France,FRA,2001,350
France,FRA,2002,350
France,FRA,2003,350
France,FRA,2004,350
France,FRA,2005,350
France,FRA,2006,350
France,FRA,2007,350
France,FRA,2008,300
France,FRA,2009,300
France,FRA,2010,300
France,FRA,2011,300
France,FRA,2012,300
France,FRA,2013,300
France,FRA,2014,300
France,FRA,2015,300
France,FRA,2016,300
France,FRA,2017,300
France,FRA,2018,300
France,FRA,2019,300
France,FRA,2020,290
France,FRA,2021,290
France,FRA,2022,290
France,FRA,2023,290
India,IND,1945,0
India,IND,1946,0
India,IND,1947,0
India,IND,1948,0
India,IND,1949,0
India,IND,1950,0
India,IND,1951,0
India,IND,1952,0
India,IND,1953,0
India,IND,1954,0
India,IND,1955,0
India,IND,1956,0
India,IND,1957,0
India,IND,1958,0
India,IND,1959,0
India,IND,1960,0
India,IND,1961,0
India,IND,1962,0
India,IND,1963,0
India,IND,1964,0
India,IND,1965,0
India,IND,1966,0
India,IND,1967,0
India,IND,1968,0
India,IND,1969,0
India,IND,1970,0
India,IND,1971,0
India,IND,1972,0
India,IND,1973,0
India,IND,1974,0
India,IND,1975,0
India,IND,1976,0
India,IND,1977,0
India,IND,1978,0
India,IND,1979,0
India,IND,1980,0
India,IND,1981,0
India,IND,1982,0
India,IND,1983,0
India,IND,1984,0
India,IND,1985,0
India,IND,1986,0
India,IND,1987,0
India,IND,1988,0
India,IND,1989,0
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,0
India,IND,1995,0
India,IND,1996,0
India,IND,1997,0
India,IND,1998,3
India,IND,1999,8
India,IND,2000,13
India,IND,2001,18
India,IND,2002,23
India,IND,2003,28
India,IND,2004,33
India,IND,2005,38
India,IND,2006,43
India,IND,2007,50
India,IND,2008,60
India,IND,2009,70
India,IND,2010,80
India,IND,2011,90
India,IND,2012,100
India,IND,2013,110
India,IND,2014,100
India,IND,2015,110
India,IND,2016,120
India,IND,2017,130
India,IND,2018,140
India,IND,2019,140
India,IND,2020,150
India,IND,2021,160
India,IND,2022,160
India,IND,2023,164
Israel,ISR,1945,0
Israel,ISR,1946,0
Israel,ISR,1947,0
Israel,ISR,1948,0
Israel,ISR,1949,0
Israel,ISR,1950,0
Israel,ISR,1951,0
Israel,ISR,1952,0
Israel,ISR,1953,0
Israel,ISR,1954,0
Israel,ISR,1955,0
Israel,ISR,1956,0
Israel,ISR,1957,0
Israel,ISR,1958,0
Israel,ISR,1959,0
Israel,ISR,1960,0
Israel,ISR,1961,0
Israel,ISR,1962,0
Israel,ISR,1963,0
Israel,ISR,1964,0
Israel,ISR,1965,0
Israel,ISR,1966,0
Israel,ISR,1967,2
Israel,ISR,1968,4
Israel,ISR,1969,6
Israel,ISR,1970,8
Israel,ISR,1971,11
Israel,ISR,1972,13
Israel,ISR,1973,15
Israel,ISR,1974,17
Israel,ISR,1975,20
Israel,ISR,1976,22
Israel,ISR,1977,24
Israel,ISR,1978,26
Israel,ISR,1979,29
Israel,ISR,1980,31
Israel,ISR,1981,33
Israel,ISR,1982,35
Israel,ISR,1983,38
Israel,ISR,1984,40
Israel,ISR,1985,42
Israel,ISR,1986,44
Israel,ISR,1987,47
Israel,ISR,1988,49
Israel,ISR,1989,51
Israel,ISR,1990,53
Israel,ISR,1991,56
Israel,ISR,1992,58
Israel,ISR,1993,60
Israel,ISR,1994,62
Israel,ISR,1995,63
Israel,ISR,1996,64
Israel,ISR,1997,66
Israel,ISR,1998,68
Israel,ISR,1999,70
Israel,ISR,2000,72
Israel,ISR,2001,74
Israel,ISR,2002,76
Israel,ISR,2003,78
Israel,ISR,2004,80
Israel,ISR,2005,80
Israel,ISR,2006,80
Israel,ISR,2007,80
Israel,ISR,2008,80
Israel,ISR,2009,80
Israel,ISR,2010,80
Israel,ISR,2011,80
Israel,ISR,2012,80
Israel,ISR,2013,80
Israel,ISR,2014,80
Israel,ISR,2015,80
Israel,ISR,2016,80
Israel,ISR,2017,80
Israel,ISR,2018,80
Israel,ISR,2019,80
Israel,ISR,2020,90
Israel,ISR,2021,90
Israel,ISR,2022,90
Israel,ISR,2023,90
North Korea,PRK,1945,0
North Korea,PRK,1946,0
North Korea,PRK,1947,0
North Korea,PRK,1948,0
North Korea,PRK,1949,0
North Korea,PRK,1950,0
North Korea,PRK,1951,0
North Korea,PRK,1952,0
North Korea,PRK,1953,0
North Korea,PRK,1954,0
North Korea,PRK,1955,0
North Korea,PRK,1956,0
North Korea,PRK,1957,0
North Korea,PRK,1958,0
North Korea,PRK,1959,0
North Korea,PRK,1960,0
North Korea,PRK,1961,0
North Korea,PRK,1962,0
North Korea,PRK,1963,0
North Korea,PRK,1964,0
North Korea,PRK,1965,0
North Korea,PRK,1966,0
North Korea,PRK,1967,0
North Korea,PRK,1968,0
North Korea,PRK,1969,0
North Korea,PRK,1970,0
North Korea,PRK,1971,0
North Korea,PRK,1972,0
North Korea,PRK,1973,0
North Korea,PRK,1974,0
North Korea,PRK,1975,0
North Korea,PRK,1976,0
North Korea,PRK,1977,0
North Korea,PRK,1978,0
North Korea,PRK,1979,0
North Korea,PRK,1980,0
North Korea,PRK,1981,0
North Korea,PRK,1982,0
North Korea,PRK,1983,0
North Korea,PRK,1984,0
North Korea,PRK,1985,0
North Korea,PRK,1986,0
North Korea,PRK,1987,0
North Korea,PRK,1988,0
North Korea,PRK,1989,0
North Korea,PRK,1990,0
North Korea,PRK,1991,0
North Korea,PRK,1992,0
North Korea,PRK,1993,0
North Korea,PRK,1994,0
North Korea,PRK,1995,0
North Korea,PRK,1996,0
North Korea,PRK,1997,0
North Korea,PRK,1998,0
North Korea,PRK,1999,0
North Korea,PRK,2000,0
North Korea,PRK,2001,0
North Korea,PRK,2002,0
North Korea,PRK,2003,0
North Korea,PRK,2004,0
North Korea,PRK,2005,0
North Korea,PRK,2006,0
North Korea,PRK,2007,0
North Korea,PRK,2008,0
North Korea,PRK,2009,0
North Korea,PRK,2010,0
North Korea,PRK,2011,0
North Korea,PRK,2012,0
North Korea,PRK,2013,0
North Korea,PRK,2014,0
North Korea,PRK,2015,5
North Korea,PRK,2016,10
North Korea,PRK,2017,15
North Korea,PRK,2018,20
North Korea,PRK,2019,25
North Korea,PRK,2020,35
North Korea,PRK,2021,20
North Korea,PRK,2022,25
North Korea,PRK,2023,30
Pakistan,PAK,1945,0
Pakistan,PAK,1946,0
Pakistan,PAK,1947,0
Pakistan,PAK,1948,0
Pakistan,PAK,1949,0
Pakistan,PAK,1950,0
Pakistan,PAK,1951,0
Pakistan,PAK,1952,0
Pakistan,PAK,1953,0
Pakistan,PAK,1954,0
Pakistan,PAK,1955,0
Pakistan,PAK,1956,0
Pakistan,PAK,1957,0
Pakistan,PAK,1958,0
Pakistan,PAK,1959,0
Pakistan,PAK,1960,0
Pakistan,PAK,1961,0
Pakistan,PAK,1962,0
Pakistan,PAK,1963,0
Pakistan,PAK,1964,0
Pakistan,PAK,1965,0
Pakistan,PAK,1966,0
Pakistan,PAK,1967,0
Pakistan,PAK,1968,0
Pakistan,PAK,1969,0
Pakistan,PAK,1970,0
Pakistan,PAK,1971,0
Pakistan,PAK,1972,0
Pakistan,PAK,1973,0
Pakistan,PAK,1974,0
Pakistan,PAK,1975,0
Pakistan,PAK,1976,0
Pakistan,PAK,1977,0
Pakistan,PAK,1978,0
Pakistan,PAK,1979,0
Pakistan,PAK,1980,0
Pakistan,PAK,1981,0
Pakistan,PAK,1982,0
Pakistan,PAK,1983,0
Pakistan,PAK,1984,0
Pakistan,PAK,1985,0
Pakistan,PAK,1986,0
Pakistan,PAK,1987,0
Pakistan,PAK,1988,0
Pakistan,PAK,1989,0
Pakistan,PAK,1990,0
Pakistan,PAK,1991,0
Pakistan,PAK,1992,0
Pakistan,PAK,1993,0
Pakistan,PAK,1994,0
Pakistan,PAK,1995,0
Pakistan,PAK,1996,0
Pakistan,PAK,1997,0
Pakistan,PAK,1998,2
Pakistan,PAK,1999,8
Pakistan,PAK,2000,14
Pakistan,PAK,2001,20
Pakistan,PAK,2002,26
Pakistan,PAK,2003,32
Pakistan,PAK,2004,38
Pakistan,PAK,2005,44
Pakistan,PAK,2006,50
Pakistan,PAK,2007,60
Pakistan,PAK,2008,70
Pakistan,PAK,2009,80
Pakistan,PAK,2010,90
Pakistan,PAK,2011,100
Pakistan,PAK,2012,110
Pakistan,PAK,2013,115
Pakistan,PAK,2014,120
Pakistan,PAK,2015,125
Pakistan,PAK,2016,130
Pakistan,PAK,2017,140
Pakistan,PAK,2018,150
Pakistan,PAK,2019,150
